params,mean_test_jaccard_sim,rank_test_jaccard_sim,mean_test_f1_micro,rank_test_f1_micro,mean_test_f1_macro,rank_test_f1_macro,mean_test_f1_weighted,rank_test_f1_weighted,mean_test_f1_samples,rank_test_f1_samples,mean_test_hamming_loss,rank_test_hamming_loss,mean_test_accuracy_percentage,rank_test_accuracy_percentage,mean_test_accuracy_number,rank_test_accuracy_number
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-08}",0.483282651072125,15,0.555285980751201,67,0.386089555619567,211,0.511134915570013,197,0.571103313840156,27,0.09343653250774,675,0.251111111111111,1,214.7,1
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-07}",0.489943469785575,3,0.565174218442423,7,0.427709109758799,167,0.540459377671531,165,0.580748538011696,5,0.095259717922257,657,0.247017543859649,17,211.2,17
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-06}",0.474331384015595,37,0.55060660547128,157,0.421043444245383,185,0.535909431461161,185,0.568046783625731,71,0.101747506019952,627,0.225497076023392,35,192.8,35
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-05}",0.476417153996101,35,0.553860942198502,75,0.427130868582726,169,0.542944588932896,145,0.572826510721248,21,0.102800137598899,613,0.22,45,188.1,45
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.0001}",0.465801169590643,103,0.553505575339861,83,0.434328136068344,111,0.548338372625661,77,0.56633918128655,87,0.106480908152735,481,0.196959064327485,159,168.4,159
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.001}",0.469651072124756,61,0.558681907025322,29,0.437429938729334,61,0.552252049373079,43,0.57072514619883,33,0.105029239766082,527,0.197894736842105,139,169.2,139
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.01}",0.464062378167641,109,0.552970289257885,97,0.431083076818552,125,0.544063314860147,111,0.564393762183236,115,0.105331957344341,493,0.193567251461988,165,165.5,165
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.1}",0.412424951267056,225,0.477700705053626,215,0.256636865466564,259,0.406910570739949,229,0.49024171539961,227,0.103529411764706,571,0.208771929824561,81,178.5,81
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1.0}",0.320458089668616,505,0.362830153114088,299,0.042327419481104,421,0.19335204993463,409,0.387582846003899,505,0.115280357757138,173,0.154736842105263,465,132.3,465
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 10.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
